Accession,Rho,P,GC,GC3
AE000511,0.07102735768793843,0.06906182586821825,38.873183533219375,40.89859641519995
AE002098,-0.19412946050560723,0.00034451549248994216,51.52783889876604,59.71123614190311
AE004092,-0.2003499751335787,1.5627951278938346e-07,38.511784231872355,31.6688542072041
AE005176,-0.21640109390228393,9.172639013631355e-11,35.329383083874674,25.475409051731596
AE006468,-0.12389448420028995,8.270165758168227e-07,52.22170068657424,57.043899779355634
AE014299,-0.19042252958311998,6.181606045236792e-09,45.960882617065316,45.78083558393288
AE015928,-0.3450049807443522,5.294437898390668e-15,42.83717823940185,44.58875565762742
AE016823,-0.1940991412674017,3.080289260565328e-12,35.049524395133716,29.64888454398507
AE017225,-0.1452547881531304,7.952326595311211e-06,35.3794459501406,26.209940212096104
AE017285,0.12038664524769095,0.002877595062203954,63.14261166363938,74.76735786710447
AE017354,-0.2839966183981152,1.2432290105151206e-08,38.26951568595019,32.75505943755892
AL111168,-0.17700103490162633,0.021327068527717947,30.548571686178516,18.980335850738253
AL123456,-0.03182290704577385,0.21650082032730308,65.61466628826449,78.52914230432377
AL590842,-0.07068628458180018,0.03418097218850727,47.63611023248458,48.09749834886232
AP009552,-0.07092687806077232,1.4874386509671662e-05,42.33063114485447,39.50931745666048
AP012205,-0.3222140211919388,1.4236917271769182e-23,47.73037910135888,49.90495534861084
BA000017,-0.09590004179851261,0.0013797952780674305,32.87779973729638,23.01103521987631
BX897699,-0.03190318020222622,0.36184848616238563,38.23034861399023,28.890098869255546
CP001114,-0.018282326151689808,0.5801135713998884,63.38816146436573,74.68077434111375
CP001219,0.16015120885518405,0.0004218292732699285,58.77245718795988,65.35039366073784
CP002077,-0.03700190169665211,0.8278787092112874,40.00367407728878,38.223983790255
U00096,0.022256008604480373,0.2809311864335519,50.79070985933456,53.7633008577989
