Accession,P0_stop_f,P0_TAA_freq,P0_TAG_f,P0_TGA_f,P1_stop_f,P1_TAA_freq,P1_TAG_f,P1_TGA_f,P2_stop_f,P2_TAA_freq,P2_TAG_f,P2_TGA_f,P3_stop_f,P3_TAA_freq,P3_TAG_f,P3_TGA_f,P4_stop_f,P4_TAA_freq,P4_TAG_f,P4_TGA_f,P5_stop_f,P5_TAA_freq,P5_TAG_f,P5_TGA_f,P6_stop_f,P6_TAA_freq,P6_TAG_f,P6_TGA_f,Genomic_GC,Genomic_GC3
AE000511,1.0,0.5960591133004927,0.18226600985221675,0.22167487684729065,0.034482758620689655,0.024630541871921183,0.0049261083743842365,0.0049261083743842365,0.054187192118226604,0.03940886699507389,0.0,0.014778325123152709,0.08866995073891626,0.03940886699507389,0.019704433497536946,0.029556650246305417,0.08374384236453201,0.03940886699507389,0.024630541871921183,0.019704433497536946,0.08374384236453201,0.034482758620689655,0.019704433497536946,0.029556650246305417,0.059113300492610835,0.034482758620689655,0.009852216748768473,0.014778325123152709,38.873183533219375,40.89859641519995
AE004092,1.0,0.6604938271604939,0.19753086419753085,0.1419753086419753,0.09259259259259259,0.04938271604938271,0.018518518518518517,0.024691358024691357,0.05555555555555555,0.030864197530864196,0.006172839506172839,0.018518518518518517,0.07407407407407407,0.05555555555555555,0.006172839506172839,0.012345679012345678,0.08024691358024691,0.04938271604938271,0.018518518518518517,0.012345679012345678,0.08024691358024691,0.024691358024691357,0.018518518518518517,0.037037037037037035,0.09259259259259259,0.043209876543209874,0.030864197530864196,0.018518518518518517,38.511784231872355,31.6688542072041
AE005176,1.0,0.7990654205607477,0.07476635514018691,0.1261682242990654,0.12149532710280374,0.102803738317757,0.004672897196261682,0.014018691588785047,0.11214953271028037,0.06542056074766354,0.014018691588785047,0.03271028037383177,0.16355140186915887,0.09813084112149532,0.028037383177570093,0.037383177570093455,0.0514018691588785,0.03271028037383177,0.004672897196261682,0.014018691588785047,0.06542056074766354,0.014018691588785047,0.02336448598130841,0.028037383177570093,0.07476635514018691,0.02336448598130841,0.009345794392523364,0.04205607476635514,35.329383083874674,25.475409051731596
AE006468,1.0,0.6164772727272727,0.13352272727272727,0.25,0.045454545454545456,0.017045454545454544,0.019886363636363636,0.008522727272727272,0.04261363636363636,0.019886363636363636,0.008522727272727272,0.014204545454545454,0.05397727272727273,0.03409090909090909,0.002840909090909091,0.017045454545454544,0.03125,0.017045454545454544,0.008522727272727272,0.005681818181818182,0.04261363636363636,0.017045454545454544,0.011363636363636364,0.014204545454545454,0.03409090909090909,0.011363636363636364,0.008522727272727272,0.014204545454545454,52.22170068657424,57.043899779355634
AE014299,1.0,0.7300884955752213,0.2079646017699115,0.061946902654867256,0.04424778761061947,0.02654867256637168,0.017699115044247787,0.0,0.061946902654867256,0.04424778761061947,0.01327433628318584,0.004424778761061947,0.05309734513274336,0.02654867256637168,0.004424778761061947,0.022123893805309734,0.09734513274336283,0.04424778761061947,0.030973451327433628,0.022123893805309734,0.06637168141592921,0.035398230088495575,0.01327433628318584,0.017699115044247787,0.05752212389380531,0.030973451327433628,0.01327433628318584,0.01327433628318584,45.960882617065316,45.78083558393288
AE015928,1.0,0.7169811320754716,0.14150943396226415,0.14150943396226415,0.07547169811320754,0.03773584905660377,0.02830188679245283,0.009433962264150943,0.07547169811320754,0.05660377358490566,0.0,0.018867924528301886,0.02830188679245283,0.018867924528301886,0.0,0.009433962264150943,0.0660377358490566,0.02830188679245283,0.009433962264150943,0.02830188679245283,0.07547169811320754,0.05660377358490566,0.0,0.018867924528301886,0.05660377358490566,0.03773584905660377,0.0,0.018867924528301886,42.83717823940185,44.58875565762742
AE016823,1.0,0.6005665722379604,0.1558073654390935,0.24362606232294617,0.056657223796033995,0.0453257790368272,0.0056657223796034,0.0056657223796034,0.0764872521246459,0.039660056657223795,0.014164305949008499,0.0226628895184136,0.08498583569405099,0.05099150141643059,0.0056657223796034,0.028328611898016998,0.06515580736543909,0.0453257790368272,0.0113314447592068,0.0084985835694051,0.08781869688385269,0.04815864022662889,0.0169971671388102,0.0226628895184136,0.06515580736543909,0.028328611898016998,0.025495750708215296,0.0113314447592068,35.049524395133716,29.64888454398507
AE017225,1.0,0.7974137931034483,0.125,0.07758620689655173,0.14655172413793102,0.06896551724137931,0.04310344827586207,0.034482758620689655,0.09051724137931035,0.04741379310344827,0.008620689655172414,0.034482758620689655,0.08620689655172414,0.05172413793103448,0.021551724137931036,0.01293103448275862,0.06896551724137931,0.04310344827586207,0.008620689655172414,0.017241379310344827,0.0603448275862069,0.01293103448275862,0.021551724137931036,0.02586206896551724,0.05172413793103448,0.03017241379310345,0.01293103448275862,0.008620689655172414,35.3794459501406,26.209940212096104
AE017285,1.0,0.11971830985915492,0.4859154929577465,0.39436619718309857,0.0,0.0,0.0,0.0,0.02112676056338028,0.007042253521126761,0.007042253521126761,0.007042253521126761,0.007042253521126761,0.0,0.0,0.007042253521126761,0.0,0.0,0.0,0.0,0.014084507042253521,0.0,0.007042253521126761,0.007042253521126761,0.014084507042253521,0.0,0.0,0.014084507042253521,63.14261166363938,74.76735786710447
AE017354,1.0,0.5523809523809524,0.22857142857142856,0.21904761904761905,0.0761904761904762,0.047619047619047616,0.009523809523809525,0.01904761904761905,0.05714285714285714,0.0380952380952381,0.009523809523809525,0.009523809523809525,0.05714285714285714,0.0380952380952381,0.0,0.01904761904761905,0.0380952380952381,0.009523809523809525,0.009523809523809525,0.01904761904761905,0.0761904761904762,0.01904761904761905,0.01904761904761905,0.0380952380952381,0.06666666666666667,0.047619047619047616,0.009523809523809525,0.009523809523809525,38.26951568595019,32.75505943755892
AL123456,1.0,0.16883116883116883,0.33246753246753247,0.4987012987012987,0.02077922077922078,0.007792207792207792,0.0025974025974025974,0.01038961038961039,0.015584415584415584,0.0025974025974025974,0.01038961038961039,0.0025974025974025974,0.03116883116883117,0.007792207792207792,0.01818181818181818,0.005194805194805195,0.033766233766233764,0.005194805194805195,0.01038961038961039,0.01818181818181818,0.025974025974025976,0.0,0.005194805194805195,0.02077922077922078,0.033766233766233764,0.01038961038961039,0.007792207792207792,0.015584415584415584,65.61466628826449,78.52914230432377
AL590842,1.0,0.6451612903225806,0.15668202764976957,0.19815668202764977,0.05069124423963134,0.009216589861751152,0.018433179723502304,0.02304147465437788,0.03686635944700461,0.018433179723502304,0.009216589861751152,0.009216589861751152,0.06912442396313365,0.004608294930875576,0.02304147465437788,0.041474654377880185,0.041474654377880185,0.013824884792626729,0.004608294930875576,0.02304147465437788,0.03225806451612903,0.02304147465437788,0.004608294930875576,0.004608294930875576,0.06912442396313365,0.03686635944700461,0.004608294930875576,0.027649769585253458,47.63611023248458,48.09749834886232
